| Фаза   | Таймер   | Ресурс | FEC                                                                    | CEC                                                                    |
| ФП     | 5163.0   | 1      | "33,5199.7,7,8; 35,5307.4,0,1"                                         | "34,5130.0,4,5; 32,5163.0,10,11"                                       |
| ФП     | 5163.0   | 1      | "33,5199.7,7,8; 35,5307.4,0,1"                                         | "34,5130.0,5,6; 32,5163.0,10,11"                                       |
| ФП     | 5163.0   | 2      | "33,5199.7,7,8; 35,5307.4,0,1"                                         | "34,5130.0,6,7; 32,5163.0,10,11"                                       |
| ФП     | 5163.0   | 2      | "33,5199.7,7,8; 34,5300.6,7,8; 35,5307.4,0,1"                          | "32,5163.0,10,11"                                                      |
| ФП     | 5163.0   | 2      | "33,5199.7,7,8; 34,5300.6,7,8; 35,5307.4,0,1"                          | "32,5163.0,11,11"                                                      |
| ФКТ    | 5199.7   | 2      | "33,5199.7,7,8; 34,5300.6,7,8; 35,5307.4,0,1"                          | ""                                                                     |
| ФП     | 5199.7   | 2      | "34,5300.6,7,8; 35,5307.4,0,1"                                         | "33,5199.7,7,8"                                                        |
| ФП     | 5199.7   | 1      | "34,5300.6,7,8; 35,5307.4,0,1"                                         | "33,5199.7,8,9"                                                        |
| ФП     | 5199.7   | 1      | "34,5300.6,7,8; 35,5307.4,0,1"                                         | "33,5199.7,9,10"                                                       |
| ФКТ    | 5335.2   | 1      | "34,5300.6,7,8; 35,5307.4,0,1; 33,5335.2,10,11"                        | ""                                                                     |
| ФКТ    | 5335.2   | 1      | "35,5307.4,0,1; 33,5335.2,10,11"                                       | "34,5300.6,7,8"                                                        |
| ФКТ    | 5335.2   | 1      | "33,5335.2,10,11"                                                      | "34,5300.6,7,8; 35,5307.4,0,1"                                         |
| ФП     | 5335.2   | 1      | ""                                                                     | "34,5300.6,7,8; 35,5307.4,0,1; 33,5335.2,10,11"                        |
| ФП     | 5335.2   | 0      | ""                                                                     | "34,5300.6,8,9; 35,5307.4,0,1; 33,5335.2,10,11"                        |
| ФП     | 5335.2   | 0      | ""                                                                     | "34,5300.6,9,10; 35,5307.4,0,1; 33,5335.2,10,11"                       |
| ФП     | 5335.2   | 0      | "34,5369.0,10,11"                                                      | "35,5307.4,0,1; 33,5335.2,10,11"                                       |
| ФП     | 5335.2   | 0      | "34,5369.0,10,11"                                                      | "35,5307.4,1,2; 33,5335.2,10,11"                                       |
| ФП     | 5335.2   | 0      | "34,5369.0,10,11; 36,5451.0,0,1"                                       | "35,5307.4,2,3; 33,5335.2,10,11"                                       |
| ФП     | 5335.2   | 0      | "34,5369.0,10,11; 36,5451.0,0,1"                                       | "35,5307.4,3,4; 33,5335.2,10,11"                                       |
| ФП     | 5335.2   | 0      | "35,5307.4,3,4; 34,5369.0,10,11; 36,5451.0,0,1"                        | "33,5335.2,10,11"                                                      |
| ФП     | 5335.2   | 0      | "35,5307.4,3,4; 34,5369.0,10,11; 36,5451.0,0,1"                        | "33,5335.2,11,11"                                                      |
| ФКТ    | 5369.0   | 0      | "35,5307.4,3,4; 34,5369.0,10,11; 36,5451.0,0,1"                        | ""                                                                     |
| ФКТ    | 5369.0   | 0      | "34,5369.0,10,11; 36,5451.0,0,1"                                       | "35,5307.4,3,4"                                                        |
| ФП     | 5369.0   | 0      | "36,5451.0,0,1"                                                        | "35,5307.4,3,4; 34,5369.0,10,11"                                       |
| ФП     | 5369.0   | 0      | "36,5451.0,0,1; 35,5475.2,4,5"                                         | "34,5369.0,10,11"                                                      |
| ФП     | 5369.0   | 0      | "36,5451.0,0,1; 35,5475.2,4,5"                                         | "34,5369.0,11,11"                                                      |
| ФКТ    | 5475.2   | 0      | "36,5451.0,0,1; 35,5475.2,4,5"                                         | ""                                                                     |
| ФКТ    | 5475.2   | 0      | "35,5475.2,4,5"                                                        | "36,5451.0,0,1"                                                        |
| ФП     | 5475.2   | 0      | ""                                                                     | "36,5451.0,0,1; 35,5475.2,4,5"                                         |
| ФП     | 5475.2   | 0      | ""                                                                     | "36,5451.0,1,2; 35,5475.2,4,5"                                         |
| ФП     | 5475.2   | 0      | "37,5595.3,0,1"                                                        | "36,5451.0,2,3; 35,5475.2,4,5"                                         |
| ФП     | 5475.2   | 0      | "37,5595.3,0,1"                                                        | "36,5451.0,3,4; 35,5475.2,4,5"                                         |
| ФП     | 5475.2   | 0      | "36,5473.8,4,5; 37,5595.3,0,1"                                         | "35,5475.2,4,5"                                                        |
| ФП     | 5475.2   | 0      | "36,5473.8,4,5; 37,5595.3,0,1"                                         | "35,5475.2,5,6"                                                        |
| ФП     | 5475.2   | 1      | "36,5473.8,4,5; 37,5595.3,0,1"                                         | "35,5475.2,6,7"                                                        |
| ФКТ    | 5473.8   | 1      | "36,5473.8,4,5; 37,5595.3,0,1; 35,5652.8,7,8"                          | ""                                                                     |
| ФП     | 5473.8   | 1      | "37,5595.3,0,1; 35,5652.8,7,8"                                         | "36,5473.8,4,5"                                                        |
| ФП     | 5473.8   | 1      | "37,5595.3,0,1; 35,5652.8,7,8"                                         | "36,5473.8,5,6"                                                        |
| ФП     | 5473.8   | 2      | "37,5595.3,0,1; 35,5652.8,7,8"                                         | "36,5473.8,6,7"                                                        |
| ФКТ    | 5595.3   | 2      | "37,5595.3,0,1; 36,5645.2,7,8; 35,5652.8,7,8"                          | ""                                                                     |
| ФП     | 5595.3   | 2      | "36,5645.2,7,8; 35,5652.8,7,8"                                         | "37,5595.3,0,1"                                                        |
| ФП     | 5595.3   | 2      | "36,5645.2,7,8; 35,5652.8,7,8"                                         | "37,5595.3,1,2"                                                        |
| ФП     | 5595.3   | 2      | "36,5645.2,7,8; 35,5652.8,7,8; 38,5715.0,0,1"                          | "37,5595.3,2,3"                                                        |
| ФП     | 5595.3   | 2      | "36,5645.2,7,8; 35,5652.8,7,8; 38,5715.0,0,1"                          | "37,5595.3,3,4"                                                        |
| ФКТ    | 5634.9   | 2      | "37,5634.9,4,5; 36,5645.2,7,8; 35,5652.8,7,8; 38,5715.0,0,1"           | ""                                                                     |
| ФП     | 5634.9   | 2      | "36,5645.2,7,8; 35,5652.8,7,8; 38,5715.0,0,1"                          | "37,5634.9,4,5"                                                        |
| ФП     | 5634.9   | 2      | "36,5645.2,7,8; 35,5652.8,7,8; 38,5715.0,0,1"                          | "37,5634.9,5,6"                                                        |
| ФКТ    | 5645.2   | 2      | "37,5634.9,5,6; 36,5645.2,7,8; 35,5652.8,7,8; 38,5715.0,0,1"           | ""                                                                     |
| ФКТ    | 5645.2   | 2      | "36,5645.2,7,8; 35,5652.8,7,8; 38,5715.0,0,1"                          | "37,5634.9,5,6"                                                        |
| ФП     | 5645.2   | 2      | "35,5652.8,7,8; 38,5715.0,0,1"                                         | "37,5634.9,5,6; 36,5645.2,7,8"                                         |
| ФП     | 5645.2   | 2      | "37,5634.9,5,6; 35,5652.8,7,8; 38,5715.0,0,1"                          | "36,5645.2,7,8"                                                        |
| ФП     | 5645.2   | 1      | "37,5634.9,5,6; 35,5652.8,7,8; 38,5715.0,0,1"                          | "36,5645.2,8,9"                                                        |
| ФП     | 5645.2   | 1      | "37,5634.9,5,6; 35,5652.8,7,8; 38,5715.0,0,1"                          | "36,5645.2,9,10"                                                       |
| ФКТ    | 5803.3   | 1      | "37,5634.9,5,6; 35,5652.8,7,8; 38,5715.0,0,1; 36,5803.3,10,11"         | ""                                                                     |
| ФКТ    | 5803.3   | 1      | "35,5652.8,7,8; 38,5715.0,0,1; 36,5803.3,10,11"                        | "37,5634.9,5,6"                                                        |
| ФКТ    | 5803.3   | 1      | "38,5715.0,0,1; 36,5803.3,10,11"                                       | "37,5634.9,5,6; 35,5652.8,7,8"                                         |
| ФКТ    | 5803.3   | 1      | "36,5803.3,10,11"                                                      | "37,5634.9,5,6; 35,5652.8,7,8; 38,5715.0,0,1"                          |
| ФП     | 5803.3   | 1      | ""                                                                     | "37,5634.9,5,6; 35,5652.8,7,8; 38,5715.0,0,1; 36,5803.3,10,11"         |
| ФП     | 5803.3   | 2      | ""                                                                     | "37,5634.9,6,7; 35,5652.8,7,8; 38,5715.0,0,1; 36,5803.3,10,11"         |
| ФП     | 5803.3   | 2      | "37,5816.4,7,8"                                                        | "35,5652.8,7,8; 38,5715.0,0,1; 36,5803.3,10,11"                        |
| ФП     | 5803.3   | 1      | "37,5816.4,7,8"                                                        | "35,5652.8,8,9; 38,5715.0,0,1; 36,5803.3,10,11"                        |
| ФП     | 5803.3   | 1      | "37,5816.4,7,8"                                                        | "35,5652.8,9,10; 38,5715.0,0,1; 36,5803.3,10,11"                       |
| ФП     | 5803.3   | 1      | "35,5702.8,10,11; 37,5816.4,7,8"                                       | "38,5715.0,0,1; 36,5803.3,10,11"                                       |
| ФП     | 5803.3   | 1      | "35,5702.8,10,11; 37,5816.4,7,8"                                       | "38,5715.0,1,2; 36,5803.3,10,11"                                       |
| ФП     | 5803.3   | 1      | "35,5702.8,10,11; 37,5816.4,7,8; 39,5931.9,0,1"                        | "38,5715.0,2,3; 36,5803.3,10,11"                                       |
| ФП     | 5803.3   | 1      | "35,5702.8,10,11; 37,5816.4,7,8; 39,5931.9,0,1"                        | "38,5715.0,3,4; 36,5803.3,10,11"                                       |
| ФП     | 5803.3   | 1      | "35,5702.8,10,11; 37,5816.4,7,8; 38,5864.6,4,5; 39,5931.9,0,1"         | "36,5803.3,10,11"                                                      |
| ФП     | 5803.3   | 1      | "35,5702.8,10,11; 37,5816.4,7,8; 38,5864.6,4,5; 39,5931.9,0,1"         | "36,5803.3,11,11"                                                      |
| ФКТ    | 5864.6   | 1      | "35,5702.8,10,11; 37,5816.4,7,8; 38,5864.6,4,5; 39,5931.9,0,1"         | ""                                                                     |
| ФКТ    | 5864.6   | 1      | "37,5816.4,7,8; 38,5864.6,4,5; 39,5931.9,0,1"                          | "35,5702.8,10,11"                                                      |
| ФКТ    | 5864.6   | 1      | "38,5864.6,4,5; 39,5931.9,0,1"                                         | "35,5702.8,10,11; 37,5816.4,7,8"                                       |
| ФП     | 5864.6   | 1      | "39,5931.9,0,1"                                                        | "35,5702.8,10,11; 37,5816.4,7,8; 38,5864.6,4,5"                        |
| ФП     | 5864.6   | 1      | "39,5931.9,0,1"                                                        | "35,5702.8,11,11; 37,5816.4,7,8; 38,5864.6,4,5"                        |
| ФП     | 5864.6   | 1      | "39,5931.9,0,1"                                                        | "37,5816.4,7,8; 38,5864.6,4,5"                                         |
| ФП     | 5864.6   | 0      | "39,5931.9,0,1"                                                        | "37,5816.4,8,9; 38,5864.6,4,5"                                         |
| ФП     | 5864.6   | 0      | "39,5931.9,0,1"                                                        | "37,5816.4,9,10; 38,5864.6,4,5"                                        |
| ФП     | 5864.6   | 0      | "37,5845.4,10,11; 39,5931.9,0,1"                                       | "38,5864.6,4,5"                                                        |
| ФП     | 5864.6   | 0      | "37,5845.4,10,11; 39,5931.9,0,1"                                       | "38,5864.6,5,6"                                                        |
| ФП     | 5864.6   | 1      | "37,5845.4,10,11; 39,5931.9,0,1"                                       | "38,5864.6,6,7"                                                        |
| ФКТ    | 5845.4   | 1      | "37,5845.4,10,11; 39,5931.9,0,1; 38,6051.1,7,8"                        | ""                                                                     |
| ФП     | 5845.4   | 1      | "39,5931.9,0,1; 38,6051.1,7,8"                                         | "37,5845.4,10,11"                                                      |
| ФП     | 5845.4   | 1      | "39,5931.9,0,1; 38,6051.1,7,8"                                         | "37,5845.4,11,11"                                                      |
| ФКТ    | 5931.9   | 1      | "39,5931.9,0,1; 38,6051.1,7,8"                                         | ""                                                                     |
| ФП     | 5931.9   | 1      | "38,6051.1,7,8"                                                        | "39,5931.9,0,1"                                                        |
| ФП     | 5931.9   | 1      | "38,6051.1,7,8"                                                        | "39,5931.9,1,2"                                                        |
| ФП     | 5931.9   | 1      | "38,6051.1,7,8; 40,6057.5,0,1"                                         | "39,5931.9,2,3"                                                        |
| ФП     | 5931.9   | 1      | "38,6051.1,7,8; 40,6057.5,0,1"                                         | "39,5931.9,3,4"                                                        |
| ФКТ    | 6072.4   | 1      | "38,6051.1,7,8; 40,6057.5,0,1; 39,6072.4,4,5"                          | ""                                                                     |
| ФКТ    | 6072.4   | 1      | "40,6057.5,0,1; 39,6072.4,4,5"                                         | "38,6051.1,7,8"                                                        |
| ФКТ    | 6072.4   | 1      | "39,6072.4,4,5"                                                        | "38,6051.1,7,8; 40,6057.5,0,1"                                         |
| ФП     | 6072.4   | 1      | ""                                                                     | "38,6051.1,7,8; 40,6057.5,0,1; 39,6072.4,4,5"                          |
| ФП     | 6072.4   | 0      | ""                                                                     | "38,6051.1,8,9; 40,6057.5,0,1; 39,6072.4,4,5"                          |
| ФП     | 6072.4   | 0      | ""                                                                     | "38,6051.1,9,10; 40,6057.5,0,1; 39,6072.4,4,5"                         |
| ФП     | 6072.4   | 0      | "38,6071.2,10,11"                                                      | "40,6057.5,0,1; 39,6072.4,4,5"                                         |
| ФП     | 6072.4   | 0      | "38,6071.2,10,11"                                                      | "40,6057.5,1,2; 39,6072.4,4,5"                                         |
| ФП     | 6072.4   | 0      | "38,6071.2,10,11; 41,6185.2,0,1"                                       | "40,6057.5,2,3; 39,6072.4,4,5"                                         |
| ФП     | 6072.4   | 0      | "38,6071.2,10,11; 41,6185.2,0,1"                                       | "40,6057.5,3,4; 39,6072.4,4,5"                                         |
| ФП     | 6072.4   | 0      | "38,6071.2,10,11; 40,6102.0,4,5; 41,6185.2,0,1"                        | "39,6072.4,4,5"                                                        |
| ФП     | 6072.4   | 0      | "38,6071.2,10,11; 40,6102.0,4,5; 41,6185.2,0,1"                        | "39,6072.4,5,6"                                                        |
| ФП     | 6072.4   | 1      | "38,6071.2,10,11; 40,6102.0,4,5; 41,6185.2,0,1"                        | "39,6072.4,6,7"                                                        |
| ФКТ    | 6102.0   | 1      | "38,6071.2,10,11; 40,6102.0,4,5; 41,6185.2,0,1; 39,6253.3,7,8"         | ""                                                                     |
| ФКТ    | 6102.0   | 1      | "40,6102.0,4,5; 41,6185.2,0,1; 39,6253.3,7,8"                          | "38,6071.2,10,11"                                                      |
| ФП     | 6102.0   | 1      | "41,6185.2,0,1; 39,6253.3,7,8"                                         | "38,6071.2,10,11; 40,6102.0,4,5"                                       |
| ФП     | 6102.0   | 1      | "41,6185.2,0,1; 39,6253.3,7,8"                                         | "38,6071.2,11,11; 40,6102.0,4,5"                                       |
| ФП     | 6102.0   | 1      | "41,6185.2,0,1; 39,6253.3,7,8"                                         | "40,6102.0,4,5"                                                        |
| ФП     | 6102.0   | 1      | "41,6185.2,0,1; 39,6253.3,7,8"                                         | "40,6102.0,5,6"                                                        |
| ФП     | 6102.0   | 2      | "41,6185.2,0,1; 39,6253.3,7,8"                                         | "40,6102.0,6,7"                                                        |
| ФКТ    | 6185.2   | 2      | "41,6185.2,0,1; 39,6253.3,7,8; 40,6292.7,7,8"                          | ""                                                                     |
| ФП     | 6185.2   | 2      | "39,6253.3,7,8; 40,6292.7,7,8"                                         | "41,6185.2,0,1"                                                        |
| ФП     | 6185.2   | 2      | "39,6253.3,7,8; 40,6292.7,7,8"                                         | "41,6185.2,1,2"                                                        |
| ФП     | 6185.2   | 2      | "39,6253.3,7,8; 40,6292.7,7,8; 42,6302.7,0,1"                          | "41,6185.2,2,3"                                                        |
| ФП     | 6185.2   | 2      | "39,6253.3,7,8; 40,6292.7,7,8; 42,6302.7,0,1"                          | "41,6185.2,3,4"                                                        |
| ФКТ    | 6339.8   | 2      | "39,6253.3,7,8; 40,6292.7,7,8; 42,6302.7,0,1; 41,6339.8,4,5"           | ""                                                                     |
| ФКТ    | 6339.8   | 2      | "40,6292.7,7,8; 42,6302.7,0,1; 41,6339.8,4,5"                          | "39,6253.3,7,8"                                                        |
| ФКТ    | 6339.8   | 2      | "42,6302.7,0,1; 41,6339.8,4,5"                                         | "39,6253.3,7,8; 40,6292.7,7,8"                                         |
| ФКТ    | 6339.8   | 2      | "41,6339.8,4,5"                                                        | "39,6253.3,7,8; 40,6292.7,7,8; 42,6302.7,0,1"                          |
| ФП     | 6339.8   | 2      | ""                                                                     | "39,6253.3,7,8; 40,6292.7,7,8; 42,6302.7,0,1; 41,6339.8,4,5"           |
| ФП     | 6339.8   | 1      | ""                                                                     | "39,6253.3,8,9; 40,6292.7,7,8; 42,6302.7,0,1; 41,6339.8,4,5"           |
| ФП     | 6339.8   | 1      | ""                                                                     | "39,6253.3,9,10; 40,6292.7,7,8; 42,6302.7,0,1; 41,6339.8,4,5"          |
| ФП     | 6339.8   | 1      | "39,6299.9,10,11"                                                      | "40,6292.7,7,8; 42,6302.7,0,1; 41,6339.8,4,5"                          |
| ФП     | 6339.8   | 0      | "39,6299.9,10,11"                                                      | "40,6292.7,8,9; 42,6302.7,0,1; 41,6339.8,4,5"                          |
| ФП     | 6339.8   | 0      | "39,6299.9,10,11"                                                      | "40,6292.7,9,10; 42,6302.7,0,1; 41,6339.8,4,5"                         |
| ФП     | 6339.8   | 0      | "39,6299.9,10,11; 40,6394.7,10,11"                                     | "42,6302.7,0,1; 41,6339.8,4,5"                                         |
| ФП     | 6339.8   | 0      | "39,6299.9,10,11; 40,6394.7,10,11"                                     | "42,6302.7,1,2; 41,6339.8,4,5"                                         |
| ФП     | 6339.8   | 0      | "39,6299.9,10,11; 40,6394.7,10,11; 43,6465.7,0,1"                      | "42,6302.7,2,3; 41,6339.8,4,5"                                         |
| ФП     | 6339.8   | 0      | "39,6299.9,10,11; 40,6394.7,10,11; 43,6465.7,0,1"                      | "42,6302.7,3,4; 41,6339.8,4,5"                                         |
| ФП     | 6339.8   | 0      | "39,6299.9,10,11; 42,6302.7,3,4; 40,6394.7,10,11; 43,6465.7,0,1"       | "41,6339.8,4,5"                                                        |
| ФП     | 6339.8   | 0      | "39,6299.9,10,11; 42,6302.7,3,4; 40,6394.7,10,11; 43,6465.7,0,1"       | "41,6339.8,5,6"                                                        |
| ФП     | 6339.8   | 1      | "39,6299.9,10,11; 42,6302.7,3,4; 40,6394.7,10,11; 43,6465.7,0,1"       | "41,6339.8,6,7"                                                        |
| ФКТ    | 6394.7   | 1      | "39,6299.9,10,11; 42,6302.7,3,4; 40,6394.7,10,11; 43,6465.7,0,1; 41,6535.6,7,8" | ""                                                                     |
| ФКТ    | 6394.7   | 1      | "42,6302.7,3,4; 40,6394.7,10,11; 43,6465.7,0,1; 41,6535.6,7,8"         | "39,6299.9,10,11"                                                      |
| ФКТ    | 6394.7   | 1      | "40,6394.7,10,11; 43,6465.7,0,1; 41,6535.6,7,8"                        | "39,6299.9,10,11; 42,6302.7,3,4"                                       |
| ФП     | 6394.7   | 1      | "43,6465.7,0,1; 41,6535.6,7,8"                                         | "39,6299.9,10,11; 42,6302.7,3,4; 40,6394.7,10,11"                      |
| ФП     | 6394.7   | 1      | "43,6465.7,0,1; 41,6535.6,7,8"                                         | "39,6299.9,11,11; 42,6302.7,3,4; 40,6394.7,10,11"                      |
| ФП     | 6394.7   | 1      | "43,6465.7,0,1; 41,6535.6,7,8"                                         | "42,6302.7,3,4; 40,6394.7,10,11"                                       |
| ФП     | 6394.7   | 1      | "42,6370.6,4,5; 43,6465.7,0,1; 41,6535.6,7,8"                          | "40,6394.7,10,11"                                                      |
| ФП     | 6394.7   | 1      | "42,6370.6,4,5; 43,6465.7,0,1; 41,6535.6,7,8"                          | "40,6394.7,11,11"                                                      |
| ФКТ    | 6370.6   | 1      | "42,6370.6,4,5; 43,6465.7,0,1; 41,6535.6,7,8"                          | ""                                                                     |
| ФП     | 6370.6   | 1      | "43,6465.7,0,1; 41,6535.6,7,8"                                         | "42,6370.6,4,5"                                                        |
| ФП     | 6370.6   | 1      | "43,6465.7,0,1; 41,6535.6,7,8"                                         | "42,6370.6,5,6"                                                        |
| ФП     | 6370.6   | 2      | "43,6465.7,0,1; 41,6535.6,7,8"                                         | "42,6370.6,6,7"                                                        |
| ФКТ    | 6465.7   | 2      | "43,6465.7,0,1; 41,6535.6,7,8; 42,6563.1,7,8"                          | ""                                                                     |
| ФП     | 6465.7   | 2      | "41,6535.6,7,8; 42,6563.1,7,8"                                         | "43,6465.7,0,1"                                                        |
| ФП     | 6465.7   | 2      | "41,6535.6,7,8; 42,6563.1,7,8"                                         | "43,6465.7,1,2"                                                        |
| ФП     | 6465.7   | 2      | "41,6535.6,7,8; 42,6563.1,7,8; 44,6582.7,0,1"                          | "43,6465.7,2,3"                                                        |
| ФП     | 6465.7   | 2      | "41,6535.6,7,8; 42,6563.1,7,8; 44,6582.7,0,1"                          | "43,6465.7,3,4"                                                        |
| ФКТ    | 6563.3   | 2      | "41,6535.6,7,8; 42,6563.1,7,8; 43,6563.3,4,5; 44,6582.7,0,1"           | ""                                                                     |
| ФКТ    | 6563.3   | 2      | "42,6563.1,7,8; 43,6563.3,4,5; 44,6582.7,0,1"                          | "41,6535.6,7,8"                                                        |
| ФКТ    | 6563.3   | 2      | "43,6563.3,4,5; 44,6582.7,0,1"                                         | "41,6535.6,7,8; 42,6563.1,7,8"                                         |
| ФП     | 6563.3   | 2      | "44,6582.7,0,1"                                                        | "41,6535.6,7,8; 42,6563.1,7,8; 43,6563.3,4,5"                          |
| ФП     | 6563.3   | 1      | "44,6582.7,0,1"                                                        | "41,6535.6,8,9; 42,6563.1,7,8; 43,6563.3,4,5"                          |
| ФП     | 6563.3   | 1      | "44,6582.7,0,1"                                                        | "41,6535.6,9,10; 42,6563.1,7,8; 43,6563.3,4,5"                         |
| ФП     | 6563.3   | 1      | "44,6582.7,0,1; 41,6647.8,10,11"                                       | "42,6563.1,7,8; 43,6563.3,4,5"                                         |
| ФП     | 6563.3   | 1      | "42,6563.1,7,8; 44,6582.7,0,1; 41,6647.8,10,11"                        | "43,6563.3,4,5"                                                        |
| ФП     | 6563.3   | 1      | "42,6563.1,7,8; 44,6582.7,0,1; 41,6647.8,10,11"                        | "43,6563.3,5,6"                                                        |
| ФП     | 6563.3   | 2      | "42,6563.1,7,8; 44,6582.7,0,1; 41,6647.8,10,11"                        | "43,6563.3,6,7"                                                        |
| ФКТ    | 6647.8   | 2      | "42,6563.1,7,8; 44,6582.7,0,1; 41,6647.8,10,11; 43,6761.7,7,8"         | ""                                                                     |
| ФКТ    | 6647.8   | 2      | "44,6582.7,0,1; 41,6647.8,10,11; 43,6761.7,7,8"                        | "42,6563.1,7,8"                                                        |
| ФКТ    | 6647.8   | 2      | "41,6647.8,10,11; 43,6761.7,7,8"                                       | "42,6563.1,7,8; 44,6582.7,0,1"                                         |
| ФП     | 6647.8   | 2      | "43,6761.7,7,8"                                                        | "42,6563.1,7,8; 44,6582.7,0,1; 41,6647.8,10,11"                        |
| ФП     | 6647.8   | 1      | "43,6761.7,7,8"                                                        | "42,6563.1,8,9; 44,6582.7,0,1; 41,6647.8,10,11"                        |
| ФП     | 6647.8   | 1      | "43,6761.7,7,8"                                                        | "42,6563.1,9,10; 44,6582.7,0,1; 41,6647.8,10,11"                       |
| ФП     | 6647.8   | 1      | "42,6657.3,10,11; 43,6761.7,7,8"                                       | "44,6582.7,0,1; 41,6647.8,10,11"                                       |
| ФП     | 6647.8   | 1      | "42,6657.3,10,11; 43,6761.7,7,8"                                       | "44,6582.7,1,2; 41,6647.8,10,11"                                       |
| ФП     | 6647.8   | 1      | "42,6657.3,10,11; 45,6754.0,0,1; 43,6761.7,7,8"                        | "44,6582.7,2,3; 41,6647.8,10,11"                                       |
| ФП     | 6647.8   | 1      | "42,6657.3,10,11; 45,6754.0,0,1; 43,6761.7,7,8"                        | "44,6582.7,3,4; 41,6647.8,10,11"                                       |
| ФП     | 6647.8   | 1      | "44,6582.7,3,4; 42,6657.3,10,11; 45,6754.0,0,1; 43,6761.7,7,8"         | "41,6647.8,10,11"                                                      |
| ФП     | 6647.8   | 1      | "44,6582.7,3,4; 42,6657.3,10,11; 45,6754.0,0,1; 43,6761.7,7,8"         | "41,6647.8,11,11"                                                      |
| ФКТ    | 6657.3   | 1      | "44,6582.7,3,4; 42,6657.3,10,11; 45,6754.0,0,1; 43,6761.7,7,8"         | ""                                                                     |
| ФКТ    | 6657.3   | 1      | "42,6657.3,10,11; 45,6754.0,0,1; 43,6761.7,7,8"                        | "44,6582.7,3,4"                                                        |
| ФП     | 6657.3   | 1      | "45,6754.0,0,1; 43,6761.7,7,8"                                         | "44,6582.7,3,4; 42,6657.3,10,11"                                       |
| ФП     | 6657.3   | 1      | "44,6603.0,4,5; 45,6754.0,0,1; 43,6761.7,7,8"                          | "42,6657.3,10,11"                                                      |
| ФП     | 6657.3   | 1      | "44,6603.0,4,5; 45,6754.0,0,1; 43,6761.7,7,8"                          | "42,6657.3,11,11"                                                      |
| ФКТ    | 6603.0   | 1      | "44,6603.0,4,5; 45,6754.0,0,1; 43,6761.7,7,8"                          | ""                                                                     |
| ФП     | 6603.0   | 1      | "45,6754.0,0,1; 43,6761.7,7,8"                                         | "44,6603.0,4,5"                                                        |
| ФП     | 6603.0   | 1      | "45,6754.0,0,1; 43,6761.7,7,8"                                         | "44,6603.0,5,6"                                                        |
| ФП     | 6603.0   | 2      | "45,6754.0,0,1; 43,6761.7,7,8"                                         | "44,6603.0,6,7"                                                        |
| ФКТ    | 6754.0   | 2      | "45,6754.0,0,1; 43,6761.7,7,8; 44,6773.1,7,8"                          | ""                                                                     |
| ФП     | 6754.0   | 2      | "43,6761.7,7,8; 44,6773.1,7,8"                                         | "45,6754.0,0,1"                                                        |
| ФП     | 6754.0   | 2      | "43,6761.7,7,8; 44,6773.1,7,8"                                         | "45,6754.0,1,2"                                                        |
| ФП     | 6754.0   | 2      | "43,6761.7,7,8; 44,6773.1,7,8; 46,6870.2,0,1"                          | "45,6754.0,2,3"                                                        |
| ФП     | 6754.0   | 2      | "43,6761.7,7,8; 44,6773.1,7,8; 46,6870.2,0,1"                          | "45,6754.0,3,4"                                                        |
| ФКТ    | 6794.6   | 2      | "43,6761.7,7,8; 44,6773.1,7,8; 45,6794.6,4,5; 46,6870.2,0,1"           | ""                                                                     |
| ФКТ    | 6794.6   | 2      | "44,6773.1,7,8; 45,6794.6,4,5; 46,6870.2,0,1"                          | "43,6761.7,7,8"                                                        |
| ФКТ    | 6794.6   | 2      | "45,6794.6,4,5; 46,6870.2,0,1"                                         | "43,6761.7,7,8; 44,6773.1,7,8"                                         |
| ФП     | 6794.6   | 2      | "46,6870.2,0,1"                                                        | "43,6761.7,7,8; 44,6773.1,7,8; 45,6794.6,4,5"                          |
| ФП     | 6794.6   | 1      | "46,6870.2,0,1"                                                        | "43,6761.7,8,9; 44,6773.1,7,8; 45,6794.6,4,5"                          |
| ФП     | 6794.6   | 1      | "46,6870.2,0,1"                                                        | "43,6761.7,9,10; 44,6773.1,7,8; 45,6794.6,4,5"                         |
| ФП     | 6794.6   | 1      | "46,6870.2,0,1; 43,6881.4,10,11"                                       | "44,6773.1,7,8; 45,6794.6,4,5"                                         |
| ФП     | 6794.6   | 1      | "44,6773.1,7,8; 46,6870.2,0,1; 43,6881.4,10,11"                        | "45,6794.6,4,5"                                                        |
| ФП     | 6794.6   | 1      | "44,6773.1,7,8; 46,6870.2,0,1; 43,6881.4,10,11"                        | "45,6794.6,5,6"                                                        |
| ФП     | 6794.6   | 2      | "44,6773.1,7,8; 46,6870.2,0,1; 43,6881.4,10,11"                        | "45,6794.6,6,7"                                                        |
| ФКТ    | 6881.4   | 2      | "44,6773.1,7,8; 46,6870.2,0,1; 43,6881.4,10,11; 45,6988.6,7,8"         | ""                                                                     |
| ФКТ    | 6881.4   | 2      | "46,6870.2,0,1; 43,6881.4,10,11; 45,6988.6,7,8"                        | "44,6773.1,7,8"                                                        |
| ФКТ    | 6881.4   | 2      | "43,6881.4,10,11; 45,6988.6,7,8"                                       | "44,6773.1,7,8; 46,6870.2,0,1"                                         |
