| Фаза   | Таймер   | Ресурс | FEC                                                                    | CEC                                                                    |
| ФКТ    | 996.7    | 1      | "7,911.6,0,1; 5,996.7,10,11; 6,1021.4,7,8"                             | ""                                                                     |
| ФКТ    | 996.7    | 1      | "5,996.7,10,11; 6,1021.4,7,8"                                          | "7,911.6,0,1"                                                          |
| ФП     | 996.7    | 1      | "6,1021.4,7,8"                                                         | "7,911.6,0,1; 5,996.7,10,11"                                           |
| ФП     | 996.7    | 1      | "6,1021.4,7,8"                                                         | "7,911.6,1,2; 5,996.7,10,11"                                           |
| ФП     | 996.7    | 1      | "6,1021.4,7,8; 8,1111.0,0,1"                                           | "7,911.6,2,3; 5,996.7,10,11"                                           |
| ФП     | 996.7    | 1      | "6,1021.4,7,8; 8,1111.0,0,1"                                           | "7,911.6,3,4; 5,996.7,10,11"                                           |
| ФП     | 996.7    | 1      | "6,1021.4,7,8; 7,1054.3,4,5; 8,1111.0,0,1"                             | "5,996.7,10,11"                                                        |
| ФП     | 996.7    | 1      | "6,1021.4,7,8; 7,1054.3,4,5; 8,1111.0,0,1"                             | "5,996.7,11,11"                                                        |
| ФКТ    | 1054.3   | 1      | "6,1021.4,7,8; 7,1054.3,4,5; 8,1111.0,0,1"                             | ""                                                                     |
| ФКТ    | 1054.3   | 1      | "7,1054.3,4,5; 8,1111.0,0,1"                                           | "6,1021.4,7,8"                                                         |
| ФП     | 1054.3   | 1      | "8,1111.0,0,1"                                                         | "6,1021.4,7,8; 7,1054.3,4,5"                                           |
| ФП     | 1054.3   | 0      | "8,1111.0,0,1"                                                         | "6,1021.4,8,9; 7,1054.3,4,5"                                           |
| ФП     | 1054.3   | 0      | "8,1111.0,0,1"                                                         | "6,1021.4,9,10; 7,1054.3,4,5"                                          |
| ФП     | 1054.3   | 0      | "8,1111.0,0,1; 6,1124.8,10,11"                                         | "7,1054.3,4,5"                                                         |
| ФП     | 1054.3   | 0      | "8,1111.0,0,1; 6,1124.8,10,11"                                         | "7,1054.3,5,6"                                                         |
